,Unnamed: 0,smiles,targets
0,0,c1cc(C(F)(F)F)cc2c1CCN(c1ccc([N+]([O-])=O)c(N)c1F)C2,1.0
5,5,CC(C)(C)OC(N1CCCCC1CNC(C1=Cc2cnc3cccc(n23)S1)=O)=O,1.0
6,6,c1c(Cl)cnc(C(CO)(F)F)c1F,1.0
8,8,CCOC(=O)Oc1cc(N)c(F)c(F)c1F,1.0
9,9,Cc1cn(-c2cc(C(C)(C)C)cc(C3(C)CC3)c2)cc1C(=O)OC,1.0
10,10,c1ccc(CN=C(CCCC(c2ncc(-c3ccccn3)o2)=O)O)cc1,1.0
11,11,C=CCC1=C(CC(N2CCCC2)=O)C(C)(C)CCC1,1.0
13,13,CS(=O)(=O)OCC1CNc2ccccc21,1.0
14,14,c1cc[n+]([O-])c(C(CNc2c(F)c(CC(=O)O)ccn2)(F)F)c1,1.0
16,16,c1ccnc(CC2COc3cc(Br)ccc3C2=O)c1,1.0
18,18,Cc1c2c3c(Cl)cnc(O)c3sc2nc(C)n1,1.0
19,19,CC(C)N=C(CN1CCN(C(=S)SCc2cc([N+]([O-])=O)ccc2O)CC1)O,1.0
21,21,CN1CCN(c2cccc3c2cc(-c2nc(Cc4ccc(Cl)cc4)no2)[nH]3)CC1,1.0
22,22,c1cc2c(c(C(F)(F)F)c1)CCC2N,1.0
23,23,C[C@@]1(Cn2cc([N+]([O-])=O)nc2S(c2ccc([N+]([O-])=O)cc2)(=O)=O)CO1,1.0
25,25,CC1=C(C(=O)OCOC(C(C)(C)C)=O)N2C(=O)C(N)C2SC1,1.0
26,26,Cc1cc(Br)c[nH]c1=NCCN1CCCC1,1.0
28,28,Cc1ccnc(C)c1Oc1cc(Sc2ccccn2)cnc1C(=N)O,1.0
29,29,c1c(CCl)cc2c(c1Cl)OCO2,1.0
31,31,c1ccc2c(c1)c(=NCC1(O)CCOCC1)c(N)c[nH]2,1.0
35,35,c1ccc2c(c1)ccc(N(CCCN)Cc1ccc(Br)cc1)n2,1.0
36,36,CC(C)Oc1ccc(NC(N2CCN(c3c(C=NOC)c(N)ncn3)CC2)=O)cc1,1.0
39,39,CC(C)(C)OC(=N[C@@H](CCc1ccccc1)C(c1nccs1)O)O,1.0
40,40,c1ccc(-c2ccc(OCCN)cc2)cc1,1.0
49,49,COC(CCCCC(=Nc1cc2cccnc2c2c1cccn2)O)=O,1.0
59,59,CCCC(C)Nc1ncc(-c2ccc(CN3CCN(C)CC3)cn2)c(=N[C@H]2CC[C@H](O)CC2)[nH]1,1.0
60,60,Cc1c(-c2cc(NCc3cnn(C)c3C)c(Cl)nc2)cc2ccnc-2[nH]1,1.0
61,61,c1ccc([C@H]2CC[C@@H](CNS(c3ccc(Cl)cc3)(=O)=O)CC2)cc1,1.0
62,62,C[SiH](C)C(CCCl)P(c1ccccc1)c1ccccc1,1.0
