"smiles","p_np"
"C[C@@H](C1CCCCC1)N=C(c1c[nH]c(=N)s1)O","1"
"c1cc(CN)cc(C2CCN(C(/C=C/c3ccc(O)c(O)c3)=O)CC2)c1","1"
"CCCn1c(=O)c2c([nH]cn2)nc1N1CCCC1","1"
"CC1(C)CNCc2cc(NC(c3cccnc3NCc3c[nH]c4c3cccn4)=O)ccc21","1"
"C(C1([2H])C([2H])([2H])C([2H])([2H])C(N=c2c(C(=N)O)cnc(NC(C)(C)C)[nH]2)([2H])C([2H])([2H])C1(O)[2H])([2H])([2H])[2H]","1"
"COC(c1cc(N=C(CCCC[C@H]2CCSS2)O)ccc1O)=O","1"
"C=CC(=O)OCCN(CC)c1ccc(N=Nc2ccc([N+]([O-])=O)cc2)cc1","1"
"Cc1ccc(N=C(COP(=O)(OC)Oc2ccc(Cl)cc2)O)c(C)n1","1"
"C1C2CC3CC1CC(C2)C3C(CC(=O)O)N","1"
"CS(c1ncc2c(ccc(C#C[Si](C)(C)C)c2Cl)n1)(=O)=O","1"
"C(CCCCSN1CN=CN1)CCCC1=CC1","1"
"CC(C)(C)C(N1C(C)(C)SC(=NC)N1)=O","1"
"COC(Cc1cn2cc(Cl)ccc2n1)=O","1"
"c1cc(C=NC(C#N)=C(C#N)N)c(F)c(F)c1","1"
"C(CO)N(CCO)c1cc(C(N2CCOCC2)=O)c([N+]([O-])=O)c(Cl)c1","1"
"CN1CCN(c2c3c(con3)c3cc(C(F)(F)F)ccc3n2)CC1","1"
"CN(CCCn1c(-c2ccccn2)cc(C(N(C)OC)=O)n1)C(=O)O","1"
"CCc1cc(Br)ccc1C=C1C(=O)C(C)(C)OC1(C)COC","1"
"CC(C)=NOCc1ccc(-n2cccn2)nc1","1"
"c1ccc(Cc2csc(-c3ccc(N)c(Br)c3)n2)cc1","1"
"Cc1cc[n+]([O-])c2c1C(=O)c1ccccc1-2","1"
"C(#Cc1cc2c(ccn(Cc3ccc(C(O)=O)cc3)c2=O)nc1)Cn1ccnc1","1"
"CCNC(c1cc(-c2cnc(N(C)C)nc2)cc2nc(NC(=NCC)O)cn12)=O","1"
"Cc1cc2n(n1)CCCN2C(CCC(=Nc1ccc(N2CCNCC2)cn1)O)=O","1"
