"Column0","smiles","targets"
0,"c1cc(C(F)(F)F)cc2c1CCN(c1ccc([N+]([O-])=O)c(N)c1F)C2",1
5,"CC(C)(C)OC(N1CCCCC1CNC(C1=Cc2cnc3cccc(n23)S1)=O)=O",1
6,"c1c(Cl)cnc(C(CO)(F)F)c1F",1
8,"CCOC(=O)Oc1cc(N)c(F)c(F)c1F",1
9,"Cc1cn(-c2cc(C(C)(C)C)cc(C3(C)CC3)c2)cc1C(=O)OC",1
10,"c1ccc(CN=C(CCCC(c2ncc(-c3ccccn3)o2)=O)O)cc1",1
11,"C=CCC1=C(CC(N2CCCC2)=O)C(C)(C)CCC1",1
13,"CS(=O)(=O)OCC1CNc2ccccc21",1
14,"c1cc[n+]([O-])c(C(CNc2c(F)c(CC(=O)O)ccn2)(F)F)c1",1
16,"c1ccnc(CC2COc3cc(Br)ccc3C2=O)c1",1
18,"Cc1c2c3c(Cl)cnc(O)c3sc2nc(C)n1",1
19,"CC(C)N=C(CN1CCN(C(=S)SCc2cc([N+]([O-])=O)ccc2O)CC1)O",1
21,"CN1CCN(c2cccc3c2cc(-c2nc(Cc4ccc(Cl)cc4)no2)[nH]3)CC1",1
22,"c1cc2c(c(C(F)(F)F)c1)CCC2N",1
23,"C[C@@]1(Cn2cc([N+]([O-])=O)nc2S(c2ccc([N+]([O-])=O)cc2)(=O)=O)CO1",1
25,"CC1=C(C(=O)OCOC(C(C)(C)C)=O)N2C(=O)C(N)C2SC1",1
26,"Cc1cc(Br)c[nH]c1=NCCN1CCCC1",1
28,"Cc1ccnc(C)c1Oc1cc(Sc2ccccn2)cnc1C(=N)O",1
29,"c1c(CCl)cc2c(c1Cl)OCO2",1
31,"c1ccc2c(c1)c(=NCC1(O)CCOCC1)c(N)c[nH]2",1
35,"c1ccc2c(c1)ccc(N(CCCN)Cc1ccc(Br)cc1)n2",1
36,"CC(C)Oc1ccc(NC(N2CCN(c3c(C=NOC)c(N)ncn3)CC2)=O)cc1",1
39,"CC(C)(C)OC(=N[C@@H](CCc1ccccc1)C(c1nccs1)O)O",1
40,"c1ccc(-c2ccc(OCCN)cc2)cc1",1
49,"COC(CCCCC(=Nc1cc2cccnc2c2c1cccn2)O)=O",1
59,"CCCC(C)Nc1ncc(-c2ccc(CN3CCN(C)CC3)cn2)c(=N[C@H]2CC[C@H](O)CC2)[nH]1",1
60,"Cc1c(-c2cc(NCc3cnn(C)c3C)c(Cl)nc2)cc2ccnc-2[nH]1",1
61,"c1ccc([C@H]2CC[C@@H](CNS(c3ccc(Cl)cc3)(=O)=O)CC2)cc1",1
62,"C[SiH](C)C(CCCl)P(c1ccccc1)c1ccccc1",1
65,"CC(C)(C)OC(C1=CC=CC(C(=O)OC(C)(C)C)(O)C1)=O",1
66,"COc1ccc(Cn2c3c(c(=Nc4ccc5c(ccnc5N5CC[C@@H](F)C5)c4)[nH]2)nccn3)cc1",1
67,"CC1(C)c2nc3c(C4CC4)nc(-c4cc(OC(F)F)c(N)nc4)nc3n2CCO1",1
69,"c1cc(S(C(C#N)N2C=CN=C(Cl)C2)(=O)=O)ccc1F",1
71,"CC(C)(C)OC(=NC[C@@H]1CCc2c(cc(OC)c(OC)c2OC)C(OCOC)C1)O",1
72,"CCn1c2c(c(C(C)(C)C)n1)nc(Cl)nc2O",1
74,"COC(c1c(N=C(Cc2c(Cl)cc(Cl)cn2)O)nccn1)=O",1
75,"COC(CCCS(N=C(CCCCCCCCCCCCCCCc1n[nH]nn1)O)(=O)=O)=O",1
77,"CC1Cc2c(-c3nccs3)ccc(OS(c3cccs3)(=O)=O)c2C(=O)C1",1
81,"CC(N1CCn2c(c(I)nc2N2CCOCC2)C1)=O",1
82,"C(C#N)C(N(c1c(Cl)cc(Cl)cc1Cl)N)=O",1
86,"C1Cc2c(c(N)c3c(c2Cl)CCC3)C1",1
89,"COC(CCCCC#C/C=C/C=C/CCC#C[Si](C)(C)C)=O",1
90,"C(CCCc1cnc[nH]1)CCc1ccccc1",1
92,"CN1CC2Cc3ccc(Cl)cc3C(O)C2C1",1
95,"Cc1nc(N2CCC(c3ccc(F)cc3)CC2)c([N+]([O-])=O)c(=O)n1CC#N",1
96,"c1cc2c(cc1Br)C(=O)C(=O)N2",1
100,"CCOC(C)OC(CCCCCCC(=O)OCC)(C#N)c1ccco1",1
103,"c1ccc(Cl)c(CNCc2c(C(=O)O)nc(O)nc2O)c1",1
104,"CCCCNc1c(C(NC(C)(C)C#C)=O)ccs1",1
110,"CC(C)(C)OC(COc1cccn2c(CC(C)(C)[N+]([O-])=O)cnc12)=O",1
111,"c1ccc(COC(=NCC(Nc2ccc(Oc3ccc4c(c3)c(C#N)c(N)[nH]4)cc2)=O)O)cc1",1
113,"C1CCC(n2c(-c3cnco3)cc3c[nH]c(=Nc4ccc(N5CCNCC5)cn4)nc32)C1",1
114,"CC(C)(C)c1cc(Cl)ccc1N1CCN(C(CC(=O)O)=O)CC1",1
115,"CC(C)(C)C#Cc1ccc2c(c1)[C@@]1(COCC(=N)N1)c1cc(-c3ccnc(F)c3)cnc1O2",1
116,"Cc1cccc(C)c1-n1c(-c2ccccc2)nnc1C(C)(C)C",1
118,"CC(C)N1CCC(c2cc(F)cc(F)c2)(OC)C1",1
121,"CCCS(C(=C)CN1CCC(O)CC1)(=O)=O",1
122,"CC(C)(C)[Si](c1ccccc1)(c1ccccc1)Oc1cc([N+]([O-])=O)cc2c1[nH]c(=N)s2",1
127,"CC(C)c1cccc(C(C(F)(F)F)(F)F)c1O",1
129,"c1ccc(F)c(-c2nc(C=O)cn2S(c2cccs2)(=O)=O)c1",1
130,"Cc1c2c(n[nH]c1=NN)CCCCCC2",1
131,"CC1(C)OC(COCc2ccccc2)C(c2ccccc2Cl)O1",1
132,"c1cc(-c2c3c(N)c(C(N)=O)sc3ncn2)cc(N=C(Nc2cccc(C(F)(F)F)c2)O)c1",1
133,"C1CCC2(CC1)CNCC(=O)N2c1ccc2c(c1)cn[nH]2",1
137,"c1ccc(S(C2CC3(C2)COC3)(=O)=O)cc1",1
138,"Cc1cc(C(NCc2ccc(C#N)cc2OCC(=NC)O)=O)ccc1F",1
139,"CCN1CC(=O)N(c2c(C)cccc2Cl)C1=S",1
142,"Cn1c(-c2cccc(C=O)c2)nc(-c2ccc(OC(F)F)cc2)n1",1
143,"COC(c1cc(C2CC2)cnc1N(c1ccc2c(cc[nH]2)c1)C(C(F)(F)F)=O)=O",1
144,"Cn1cc(CC2=Cc3ccc(C(F)(F)F)nc3N(C3=CCC(=O)C=C3)C2C(=O)OC)cn1",1
145,"CC1(C)CC(C(=NC2CC(C)(C)[N+](=O)C(C)(C)C2)O)CC(C)(C)N1[O-]",1
146,"c1ccc(N)c(C2CCNc3c(C#N)c(-c4ccc(OC5CCOCC5)cc4)nn32)c1",1
149,"CC(C)(CN1CCC(c2cnn3c4c(C(=N)O)cc(F)cc4n(Cc4ccccc4)c23)CC1)O",1
151,"c1cc2c(cc1CO)CC[C@H](n1cnc3cc(Br)sc3c1=O)C2",1
153,"CCCCN=c1c(N=C(Cc2cc(OC)ccc2OC)O)c(Cl)nc[nH]1",1
154,"COC(c1cc(-c2ccccc2)[nH]c1)=S",1
