,smiles,targets
0,c1cc(C(F)(F)F)cc2c1CCN(c1ccc([N+]([O-])=O)c(N)c1F)C2,1.0
1,C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O,0.0
2,c1cnc(-n2c(C(F)(F)F)c(C(=Nc3cc(C#N)c(-n4nccn4)nc3)O)cn2)c(Cl)c1N,0.0
3,C1CCN(c2c(N)cc3c(n2)nc(N2CCCCC2)s3)CC1,0.0
4,C1Cc2cc(CBr)c(I)cc2C1,0.0
5,CC(C)(C)OC(N1CCCCC1CNC(C1=Cc2cnc3cccc(n23)S1)=O)=O,1.0
6,c1c(Cl)cnc(C(CO)(F)F)c1F,1.0
7,CC1=C(CCCO[N+]([O-])=O)C(=O)C(OC)=C(OC)C1=O,0.0
8,CCOC(=O)Oc1cc(N)c(F)c(F)c1F,1.0
9,Cc1cn(-c2cc(C(C)(C)C)cc(C3(C)CC3)c2)cc1C(=O)OC,1.0
10,c1ccc(CN=C(CCCC(c2ncc(-c3ccccn3)o2)=O)O)cc1,1.0
11,C=CCC1=C(CC(N2CCCC2)=O)C(C)(C)CCC1,1.0
12,c1c(C=O)c(Cl)c(O)c(O)c1[N+]([O-])=O,0.0
13,CS(=O)(=O)OCC1CNc2ccccc21,1.0
14,c1cc[n+]([O-])c(C(CNc2c(F)c(CC(=O)O)ccn2)(F)F)c1,1.0
15,Cc1c(C(F)(F)F)ccc(NC)c1[N+]([O-])=O,0.0
16,c1ccnc(CC2COc3cc(Br)ccc3C2=O)c1,1.0
17,C1CCN(C(=Nc2cccc(N3CC(C(=NC(CC(=O)O)c4cccnc4)O)CC3=O)c2)O)CC1,0.0
18,Cc1c2c3c(Cl)cnc(O)c3sc2nc(C)n1,1.0
19,CC(C)N=C(CN1CCN(C(=S)SCc2cc([N+]([O-])=O)ccc2O)CC1)O,1.0
20,CCC(=CC(=O)OCc1ccccc1)c1ccc(C(=O)OC)cc1,0.0
21,CN1CCN(c2cccc3c2cc(-c2nc(Cc4ccc(Cl)cc4)no2)[nH]3)CC1,1.0
22,c1cc2c(c(C(F)(F)F)c1)CCC2N,1.0
23,C[C@@]1(Cn2cc([N+]([O-])=O)nc2S(c2ccc([N+]([O-])=O)cc2)(=O)=O)CO1,1.0
24,COc1c(Br)cc(C(=O)O)c(Cl)c1OC,0.0
25,CC1=C(C(=O)OCOC(C(C)(C)C)=O)N2C(=O)C(N)C2SC1,1.0
26,Cc1cc(Br)c[nH]c1=NCCN1CCCC1,1.0
27,CC1=C(CCON=CCCO)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,0.0
28,Cc1ccnc(C)c1Oc1cc(Sc2ccccn2)cnc1C(=N)O,1.0
29,c1c(CCl)cc2c(c1Cl)OCO2,1.0
30,C(CCCC(=NO)O)CCc1nc2ccc(Br)cc2[nH]1,0.0
31,c1ccc2c(c1)c(=NCC1(O)CCOCC1)c(N)c[nH]2,1.0
32,Cc1cnc(CNC2CCN(CCn3c4cc(OC)cnc4ccc3=O)CC2)cc1OC,0.0
33,Cc1cc(Nc2ccc(S(N)(=O)=O)cc2CN)ccc1SC,0.0
34,CN1CCc2cc(C(Nc3cccc(CN=C(c4ccc(OC)c(OC)c4)O)c3)=O)ccc2C1,0.0
35,c1ccc2c(c1)ccc(N(CCCN)Cc1ccc(Br)cc1)n2,1.0
36,CC(C)Oc1ccc(NC(N2CCN(c3c(C=NOC)c(N)ncn3)CC2)=O)cc1,1.0
37,CN1CCc2ccc(Cl)cc2C1c1cc(C=O)sc1,0.0
38,CC(c1ccc(SC)cc1)c1cc(B(O)O)c(F)nc1,0.0
39,CC(C)(C)OC(=N[C@@H](CCc1ccccc1)C(c1nccs1)O)O,1.0
40,c1ccc(-c2ccc(OCCN)cc2)cc1,1.0
41,Cc1ccc(NS(c2ccc(C(C)(C)C)cc2)(=O)=O)c2c1C(=O)N(c1cccnc1)C2=O,0.0
42,C1CC(C(Cl)=O)CN(C(Cc2cccs2)=O)C1,0.0
43,Cc1cc(NC2CC(F)(F)C2)c(S(C)(=O)=O)cc1C(=O)O,0.0
44,c1c(Cl)c(C(=O)O)c(Cl)nc1Cl,0.0
45,Cc1cc(CO)n(-c2ccc(O)cc2)n1,0.0
46,CC(Cc1nc2c3cccc(OC)c3[nH]c(=N)n2n1)N1CCc2c(nc(C)o2)C1,0.0
47,CCN=C(Nc1cc(-c2nc(-c3ccccn3)cs2)c(-c2cc(C(=NN)O)cnc2)cn1)O,0.0
48,CN(CP(O)(O)=O)S(c1cc2ccccc2s1)(=O)=O,0.0
49,COC(CCCCC(=Nc1cc2cccnc2c2c1cccn2)O)=O,1.0
50,CC(C)(C)OC(N1CC(F)C(C)(C)C1CCC(=O)O)=O,0.0
51,Cc1c(-c2ccc(-c3ccc(CC(=O)O)cc3F)c(F)c2)nc(C(=N)O)c(C)n1,0.0
52,C[C@@H]1[C@H]2CSC(=N)N[C@@]2(c2cc(N=C(c3cnc(C(F)F)cn3)O)ccc2F)CO1,0.0
53,CC(=NCCN=c1c(C(F)(F)F)cnc(Nc2cccc(CN3CCCCC3)c2)[nH]1)O,0.0
54,Cc1ccc2c(cc3c(n2)[nH]c(O)n3)c1C,0.0
55,Cc1cc(-c2cnn(C(C)c3ccc(C(N)=O)cc3)c2)cc(Nc2ncccn2)c1,0.0
56,CC=C(C=O)c1cccc(Br)c1,0.0
57,c1ccc(-n2c(N)cc(O)nc2=Nc2ccc(Cl)cc2)cc1,0.0
58,CC1CCN(c2cc(C)ccc2C(=Nc2ccc(=NCCn3cccn3)[nH]c2)O)CC1,0.0
59,CCCC(C)Nc1ncc(-c2ccc(CN3CCN(C)CC3)cn2)c(=N[C@H]2CC[C@H](O)CC2)[nH]1,1.0
60,Cc1c(-c2cc(NCc3cnn(C)c3C)c(Cl)nc2)cc2ccnc-2[nH]1,1.0
61,c1ccc([C@H]2CC[C@@H](CNS(c3ccc(Cl)cc3)(=O)=O)CC2)cc1,1.0
62,C[SiH](C)C(CCCl)P(c1ccccc1)c1ccccc1,1.0
63,CN=c1c(OCC(c2cc(Cl)ccc2C(F)(F)F)O)cnc(Cl)[nH]1,0.0
64,Cn1c2cc(-n3ccc(OCc4ccc(Cl)cc4)cc3=O)ccc2nc1C1CC1C(=N)O,0.0
65,CC(C)(C)OC(C1=CC=CC(C(=O)OC(C)(C)C)(O)C1)=O,1.0
66,COc1ccc(Cn2c3c(c(=Nc4ccc5c(ccnc5N5CC[C@@H](F)C5)c4)[nH]2)nccn3)cc1,1.0
67,CC1(C)c2nc3c(C4CC4)nc(-c4cc(OC(F)F)c(N)nc4)nc3n2CCO1,1.0
68,CN(C)c1c2cc(Cl)ccc2nc(/C=C/c2cccc(N3CCCC3=O)n2)n1,0.0
69,c1cc(S(C(C#N)N2C=CN=C(Cl)C2)(=O)=O)ccc1F,1.0
70,COc1cc(S(Cl)(=O)=O)ccc1-c1cn2ccnc(OC)c2n1,0.0
71,CC(C)(C)OC(=NC[C@@H]1CCc2c(cc(OC)c(OC)c2OC)C(OCOC)C1)O,1.0
72,CCn1c2c(c(C(C)(C)C)n1)nc(Cl)nc2O,1.0
73,CCOC(c1ccc(Oc2ccc(B3OC(C)(C)C(C)(C)O3)c(C=O)c2)cc1OC)=O,0.0
74,COC(c1c(N=C(Cc2c(Cl)cc(Cl)cn2)O)nccn1)=O,1.0
75,COC(CCCS(N=C(CCCCCCCCCCCCCCCc1n[nH]nn1)O)(=O)=O)=O,1.0
76,Cc1cc(N2CCNCC2)ncc1-c1cc2c3cc(-c4cccnc4)ncc3[nH]c2nc1,0.0
77,CC1Cc2c(-c3nccs3)ccc(OS(c3cccs3)(=O)=O)c2C(=O)C1,1.0
78,CCOC(CC(c1cccc(-n2cccc(-c3ccccc3)c2=O)c1)N)=O,0.0
79,COc1cccc2c1nc(C(F)F)n2-c1nc(C2CCNCC2)nc(N2CCOCC2)n1,0.0
80,c1cc2c(c(O)c1)[nH]c(-c1ccc(N)cc1)nc2=O,0.0
81,CC(N1CCn2c(c(I)nc2N2CCOCC2)C1)=O,1.0
82,C(C#N)C(N(c1c(Cl)cc(Cl)cc1Cl)N)=O,1.0
83,CCN1c2c(cccn2)C(=O)N(C)c2ccc(OS(C(F)(F)F)(=O)=O)nc21,0.0
84,Cc1ccccc1CN(c1ccc(C#N)c(Cl)c1)[C@H]1CCN(CCCO)C1,0.0
85,COC(c1cnn(-c2cccc(-c3cccc(C(N4C5CCC4COC5)=O)c3F)c2)c1C1CC1)=O,0.0
86,C1Cc2c(c(N)c3c(c2Cl)CCC3)C1,1.0
87,Cn1cnc(-c2ccccc2)c1C(=Nc1c(N)nc[nH]c1=N)O,0.0
88,CC(C)(Cc1ccc([N+]([O-])=O)cc1C(F)(F)F)C(=O)O,0.0
89,COC(CCCCC#C/C=C/C=C/CCC#C[Si](C)(C)C)=O,1.0
90,C(CCCc1cnc[nH]1)CCc1ccccc1,1.0
91,c1cc2cncc(Cl)c2c(S(Cl)(=O)=O)c1,0.0
92,CN1CC2Cc3ccc(Cl)cc3C(O)C2C1,1.0
93,c1ccc(N(CCO)C(Cn2cnc3c(C(=NO)O)cccc32)=O)cc1,0.0
94,c1ccc2c(c1)C1COc3cc(O)ccc3C1O2,0.0
95,Cc1nc(N2CCC(c3ccc(F)cc3)CC2)c([N+]([O-])=O)c(=O)n1CC#N,1.0
96,c1cc2c(cc1Br)C(=O)C(=O)N2,1.0
97,CC(C(CN)F)OCCOCCOCCOCCOCCN=C(O)OC(C)(C)C,0.0
98,CN(C)C1(c2ccccc2)CCC(NC(Cc2c[nH]c3ccccc23)C(=N)O)CC1,0.0
99,COc1cccc(C2(Nc3ncc(-c4nnc(C(F)(F)F)o4)cn3)CCC2)c1,0.0
100,CCOC(C)OC(CCCCCCC(=O)OCC)(C#N)c1ccco1,1.0
101,Cc1ccc(S(NCCO)(=O)=O)cc1-c1cc(-c2cc(C)no2)c(N)nc1,0.0
102,CCCc1c(CC(=O)OC)nc(-c2ccc(C(F)(F)F)cc2)s1,0.0
103,c1ccc(Cl)c(CNCc2c(C(=O)O)nc(O)nc2O)c1,1.0
104,CCCCNc1c(C(NC(C)(C)C#C)=O)ccs1,1.0
105,COC(c1c(N)cc(F)c2c1OCC1CC12)=O,0.0
106,C1=C(c2ccc3c(c2)c(=O)c2cc(C(=O)O)c(N)nc2o3)CCC(C(F)(F)F)C1,0.0
107,c1cc2c(c(OC3CCOCC3)c1)nc(Cl)nc2Cl,0.0
108,CCOC(c1cc(OC)c(OCC2CCN(C)CC2)cc1[N+]([O-])=O)=O,0.0
