fragment_id,feasible_compounds,infeasible_compounds
total_compounds,85557,85349
2115502080,1,0
1409810436,0,1
3979345926,0,1
3042443271,3,7
3249537033,1,2
1152385036,0,1
4217896973,34,46
3772776462,8,0
3747610637,4,2
2429026325,0,2
2537029653,0,1
3428319258,1,0
655884315,1,1
2167930908,0,1
46137375,2,13
1637875746,1,0
1309147170,1,0
1530920997,0,2
2626682918,1,10
3201302568,5,1
4048551983,0,2
3448766513,1,0
3969908786,2,0
3414687793,0,16
2262302769,0,1
911736887,0,3
306708536,0,2
4003463225,1,1
1426063417,0,1
1296564286,0,4
684195903,16,0
539492415,0,1
2712666184,1,0
2022178895,0,1
965738576,0,2
2843213906,1,1
3771727957,0,1
1819803736,1,0
1345323099,0,2
2403860573,0,4
2875719774,1,0
1248854110,0,1
233832545,0,2
1712324709,2,0
3405774950,1,0
1956642919,0,2
2925002856,0,1
706740336,1,0
1327497334,0,3
2068840568,7,12
38797433,0,1
2862088314,0,1
1662517371,0,1
1836056701,5,5
2956984452,1,0
1321730182,3,3
2449473671,1,0
1361051786,13,6
540016778,1,0
815267988,0,1
1492648103,1,0
1056440488,2,9
3223847079,0,1
3852468395,0,1
2432696494,10,18
215482548,0,1
1117257914,0,1
4120903868,1,0
618660029,1,0
2818572477,2,4
216006845,0,2
296747200,1,9
1826095296,28,70
3276275905,0,3
1235222723,2,4
1935671484,0,1
1687158976,0,1
2290090182,1,1
267387080,6,13
2731540680,1,0
1569718480,40,91
2786590929,2,0
2678063313,1,0
509083861,1,0
1427636439,1,0
3719299289,1,1
2404909274,0,1
2310537439,0,1
3067609315,0,1
2787639525,2,0
3303014632,0,1
3542089966,0,2
2418540784,1,1
1675100402,0,1
3520069875,1,6
2030043380,11,19
541065463,5,5
878182647,1,2
2384986359,0,1
3546808570,0,1
1013973246,0,1
3180331263,1,0
623902976,2,0
4086300929,1,0
591397126,2,0
1987576074,0,4
2214592779,9,7
2602565906,0,1
123207955,2,0
3858759958,1,0
3140485402,1,0
4089446686,6,1
1965031711,0,1
838336801,3,4
1460142370,0,2
923271459,1,2
3039822119,1,5
2082472232,1,0
2386559272,3,0
2295333164,0,1
2726297901,3,1
687866159,1,0
83886384,0,1
1281884469,1,0
292553014,1,3
3195011383,0,9
244842808,0,17
2818572601,1,0
2240807226,0,1
3503817026,1,0
1491075395,4,4
3816292678,0,1
1149763913,1,5
3879731530,1,0
2458386763,1,11
1874329932,0,1
1479541074,1,0
2447376722,2,1
653787477,3,0
2981626200,4,7
30933337,0,1
1303380319,2,10
3229614432,0,1
3760718178,0,2
2147484012,7,3
2205155692,1,0
1465385325,0,1
3666346351,0,1
2908750191,0,1
610271604,71,79
3383755126,1,0
1351090552,2,12
216007037,0,2
1714946430,5,3
2261778814,1,0
1498939779,0,4
49807751,21,15
2307391879,1,0
2560622985,1,0
836239754,4,1
3951559050,3,2
781713801,1,0
2552234375,1,0
4024959367,0,2
1905787280,2,3
3384279440,11,3
1555038609,1,3
3997172113,0,1
3071279509,1,0
3344433558,12,3
4065329563,0,3
2607284641,3,10
2982150562,1,0
